ID,Title,alternative form,alternative form,alternative form,Type,persons (lookup)
TIT2330rajati,rājatirāja,,,,title,
TIT2331ras,ras,,,,title,
TIT2332rasbit,ras bitwäddäd,,,,title,
TIT2333raswam,ras wämbär,,,,title,
TIT2334rasa,raša,,,,title,
TIT2335redant,rēdánto,rēdántu,,,title,
TIT2336reesah,rǝʾǝsä hǝbay,,,,adm.,
TIT2337reesad,rǝʾǝsä däbr,,,,title,
TIT2338reesak,rǝʾǝsä kätäma,,,,adm.,
TIT2339reesal,rǝʾǝsä liqanä ṗaṗṗasat,,,,off.,
TIT2340reesam,rǝʾǝsä mäkwannǝnt,,,,title,
TIT2341reesam,rǝʾǝsä mämakǝrt,,,,title,
TIT2342reesar,rǝʾǝsä rǝʾusan,,,,title,
TIT2343reesas,rǝʾǝsä śärawit,,,,title,
TIT2344saarga,saar garaad,,,,title,
TIT2345sahafe,ṣäḥafe tǝʾǝzaz,,,,office,
TIT2346sahafe,ṣäḥafe lam,ṣaḥaf lam,ṭafälam,ṣafälam,office,
TIT2347sahafe,ṣäḥafe tǝʾǝzaz,,,,office,
TIT2348sahafi,ṣäḥafi,,,,office,
TIT2349sahans,šāhanšāh,,,,title,
TIT2350sahib,ṣāḥīb,,,,title,
TIT2351salaqa,šaläqa,,,,office,
TIT2352sambal,šämbäl,,,,mil.,
TIT2353samon,sämon,,,,eccl.,
TIT2354samona,sämon azz򠅾až,,,,office,
TIT2355samona,sämonäñña,,,,office,
TIT2356sangak,sanǧakbey,,,,office,
TIT2357saqala,säqäla,,,,pol.,
TIT2358saqa,šäqa,,,,office,
TIT2359saware,ṣäware dǝbab,,,,office,
TIT2360saware,ṣäware narge,,,,office,
TIT2361sayh,šayḫ,šeḵ,šeeki,sheikh,title,
TIT2362sayhas,šayḫ as-saǧǧāda,,,,office,
TIT2363sayhat,šayḫ aṭ-ṭarīqa,,,,office,
TIT2364sayyid,sayyid,,,,title,
TIT2365SB,SBʾ,,,,title,
TIT2366segama,śǝga mälkäñña,,,,office,
TIT2367sem,sǝm,,,,title,
TIT2368semena,sǝmen aggafari,,,,title,
TIT2369seragm,ṣǝrag masäre,ṣǝraǧ masäre,ṣǝragi masäre,raq masäre,office,
TIT2370seyyum,śǝyyum,,,,title,
TIT2371seyyum,śǝyyum amba śännayti,,,,title,
TIT2372seyyum,śǝyyumä baḥǝr,šumä baḥǝr,šum baḥri,,title,
TIT2373seyyum,śǝyyumä Ǝggäla,,,,title,
TIT2374seyyum,śǝyyumä ǝgziʾabǝḥer,,,,epithet,
TIT2375seyyum,śǝyyumä Ǝntärta,,,,title,
TIT2376seyyum,śǝyyumä Ḥamasen,,,,title,
TIT2377seyyum,śǝyyumä Maʿṣo,,,,title,
TIT2378seyyum,śǝyyumä Säḥart,,,,title,
TIT2379seyyum,śǝyyumä Särawe,,,,title,
TIT2380seyyum,śǝyyumä Ṣǝraʿ,šum Ṣǝraʿ,,,title,
TIT2381seyyum,śǝyyumä Šire,,,,title,
TIT2382seyyum,śǝyyumä wäsän,,,,title,
TIT2383sorof,sorof,,,,title,
TIT2384suldaa,suldaan,,,,title,
TIT2385sultan,sulṭān,,,,title,
TIT2386sultan,sulṭān al-Ḥabaš,,,,title,
TIT2387sum,šum,śǝyyum,,,title,
TIT2388sumaga,šum ʿagame,,,,title,
TIT2389sumsal,šum säläwa,,,,title,
TIT2390sumsir,šum šir,šum šǝrr,,,title,
TIT2391sumsir,šum šire,,,,title,
TIT2392sumtam,šum tämben,śǝyyumä Tämben,,,title,
TIT2393sumbas,šumbaš,šumbaši,,,title,
TIT2394taato,taato,,,,title,
TIT2395taggas,ṭäǧǧ asallafi,,,,office,
TIT2396taggaz,ṭäǧǧ azzaž,,,,office,
TIT2397taggma,ṭäǧǧ mälkäñña,,,,office,
TIT2398talall,talallaq blatten geta,,,,off.,
TIT2399tallaq,tallaq quṭb,,,,rank,
TIT2400tarase,ṭaräsǝmbä azzaž,,,,off.,
TIT2401tati,tati,,,,title,
TIT2402tato,tato,,,,title,
TIT2403tegrem,tǝgre mäkwännǝn,mäkwännǝn tǝgray,tǝgray mäkwännǝn,,title,
TIT2404teqaqe,ṭǝqaqǝn blatten geta,,,,off.,
TIT2405tossak,Ṭossa kawa,,,,title,
TIT2406turkba,turk bašša,,,,title,
TIT2407ugaas,ugaas,,,,title,
TIT2408ulama,ʿulamāʾ,sg. ʿalīm,,,rel.,
TIT2409wagsum,wag šum,wag śǝyyum,,,title,
TIT2410wahnia,wähni azzaž,,,,office,
TIT2411walasm,wälasma,,,,title,
TIT2412wali,wālī,awliyāʾ,,,rel.,
TIT2413wambar,wämbär,,,,jur.,
TIT2414wayzar,wäyzäro,,,,title,
TIT2415wazir,wazīr,,,,title,
TIT2416westar,wǝsṭ arbäññočč,yäwǝsṭ arbäññočč,,,mil.,
TIT2417westaz,wǝsṭ azzaž,,,,office,
TIT2418westbl,wǝsṭ blatten,,,,office,
TIT2419yaakal,yäʾakal dañña,,,,jur.,
TIT2420yaakka,yäʾakkababi aläqa,,,,office,
TIT2421yaarad,yäʾarada zäbäñña,,,,gov.,
TIT2422yabele,yäbelǝye dañña,,,,mil.,
TIT2423yadabr,yädäbr aläqa,,,,title,
TIT2424yaelfe,yäʾǝlfǝññ aškär,,,,office,
TIT2425yagogg,yägoǧǧam nǝguś,,,,title,
TIT2426yamsaa,yamsa aläqa,ḥamsa aläqa,amsa aläqa,,title,
TIT2427yaqaba,yäqäbäle šǝmagǝlle,,,,tit.,
TIT2428yaqann,yäqäññ asallafi,,,,tit.,
TIT2429yatora,yäṭor abägaz,,,,title,
TIT2430yators,yäṭor särawit,,,,mil.,
TIT2431Zan,žan,,,,title,
TIT2432Zanser,žan ṣǝrar,,,,title,
TIT2433Zandar,žandäräba azzaž,,,,office,
