ID,Unit,Altname,Texts (lookup),Persons (lookup),Places (lookup)
ETH1410Diraas,Diraašša,"Ðiraašša, Gardul[l]a, Gidole",,,
ETH1411Dirama,Dirama,,,,
ETH1412Dirtta,Dirtta,,,,
ETH1413Dita,Dita,,,,
ETH1414Dizi,Dizi,,,,
ETH1415Dobase,Dobase,"Ðoopase, Gowäze",,,
ETH1416Dobat,Do򰄁bʿāt,,,,
ETH1417Dobbi,Dobbi,"Dobi, Gogot",,,
ETH1418Doda,Dōdá,,,,
ETH1419Dodoth,Dodoth,,,,
ETH1420Dogon,Dogon,,,,
ETH1421Dollo,Dollo,,,,
ETH1422Doma,Doma,,,,
ETH1423Done,Done,,,,
ETH1424Donga,Donga,,,,
ETH1425Dorga,Dorga,,,,
ETH1426Dorote,Ðorote,,,,
ETH1427Dorze,Dorze,Abati,,,
ETH1428dugaym,Ḏū Ġaymān,,,,
ETH1429duNuas,Ḏū Nuʾāsim,,,,
ETH1430Dubamo,Dubamo,Danta,,,
ETH1431Dugo,Dugo,,,,
ETH1432Dugugg,Dugugguru,,,,
ETH1433Dula,Dula,,,,
ETH1434dhulba,Ḍulbahante,Dhulbahante,,,
ETH1435Dulla,Dulla,,,,
ETH1436Dullay,Dullay,,,,
ETH1437Durba,Durbá,,,,
ETH1438Duula,Duula,,,,
ETH1439Đwòk,Đwòk,,,,
ETH1440eddaDe,Ǝdda Degänä,,,,
ETH1441eggala,Ǝggäla,,,,
ETH1442eggala,Ǝggäla Ḥaṣǝn,,,,
ETH1443Elaay,Elaay,,,,
ETH1444Eleze,Eleze,,,,
ETH1445Eli,ʿEli,,,,
ETH1446Elle,Elle,,,,
ETH1447Elmana,Elmana Densa,,,,
ETH1448Emma,Emma,,,,
ETH1449enagad,Ǝnagadir Zugan,,,,
ETH1450enakwa,Ǝnäkwamt,,,,
ETH1451enar,Ǝnär,,,,
ETH1452endabu,Ǝndabuy,ya,,,
ETH1453endaga,Ǝndägañ,Šadgär,,,
ETH1454ennama,Ǝnnämakki,,,,
ETH1455ennamo,Ǝnnämor,"Ǝnor, Inōr",,,
ETH1456ennaqo,Ǝnnäqor,,,,
ETH1457ennatM,Ǝnnat Mäsqan,,,,
ETH1458entaza,Ǝntäzära,,,,
ETH1459Eseppa,Ešeppa,,,,
ETH1460eskadi,Ǝskadiya,,,,
ETH1461eZa,Ǝža,Äža,,,
ETH1462Ezo,Ezo,,,,
ETH1463Fadasi,Fädaši,,,,
ETH1464FakihA,Fakih ʿAre,,,,
ETH1465Faqihh,Faqīh Ḥarak,,,,
ETH1466Fataga,Fätägäm,,,,
ETH1467Fellat,Fellata,"Fulani, Fulde",,,
ETH1468Fellat,Fellata Melle,,,,
ETH1469Fogrot,Fogrotta ʿAre,,,,
ETH1470Franks,"Franks, idiom",,,,
ETH1471Fulful,Fulfulde,"Ful, Fulani, Fulbe",,,
ETH1472Fun,Fuñ,Fuñawi,,,
ETH1473Fur,Fur,,,,
ETH1474Fuurla,Fuurlabe,,,,
ETH1475Gaadul,Gaadulla,,,,
ETH1476Gaagwa,Gaagwang,,,,
ETH1477Gaalge,Gaalǧeʿel,,,,
ETH1478gaaliy,Ǧaʿalīyīn,Ǧaʿalī,,,
ETH1479Gaam,Gaam,,,,
ETH1480Gaamo,Gaamo,,,,
ETH1481Gaara,Gaara,,,,
ETH1482gaarso,"Ǧaarso, Or. ethn.",,,,
ETH1483Gaaso,Gaʿasó,,,,
ETH1484Gaba,Gaba,Kaapa,,,
ETH1485gaba,Ǧaba,,,,
ETH1486Gabal,Gäbäl,,,,
ETH1487Gabala,Gabala,,,,
ETH1488gabala,Ǧäbälawi,,,,
ETH1489Gabare,Gabare,,,,
ETH1490Gabarm,Gäbärma,,,,
ETH1491Gabra,Gabra,"Gabbra, Or. ethn.",,,
ETH1492gabart,Ǧäbärtii,,,,
ETH1493GabraM,Gabra Malbe,,,,
ETH1494Gada,Gada,,,,
ETH1495Gadaba,Gädäbano,,,,
ETH1496Gadabu,Gadabuursi,Gadabbuursi Samarroon,,,
ETH1497GadamS,Gädäm Sikta,,,,
ETH1498gado,Ǧado,,,,
ETH1499Gafat,Gafat,,,,
ETH1500Gagaak,Gaǧaak,,,,
ETH1501gahmag,Ǧahmagarato,,,,
ETH1502Gaica,Gaiča,,,,
ETH1503Galaan,Galaan,Gälan,,,
ETH1504Galbo,Galbo,,,,
ETH1505Galgad,Galgaduud,,,,
ETH1506Galila,Galila,Gayla,,,
ETH1507Galila,Galila,Gurage,,,
ETH1508Gallai,"Galla, idiom",,,,
ETH1509Gambo,Gämbo,,,,
ETH1510Gamio,Gamio,,,,
ETH1511Gamits,Gamitse,,,,
ETH1512Gamo,Gamo,"Gamu, Gemu, Guemu",,,
ETH1513Gandab,Gändabärat,,,,
ETH1514ganger,Ǧänǧǝren,Bab Ǧänǧǝren,,,
ETH1515Gangul,Ganǧule,,,,
ETH1516Gannin,Ganninto,,,,
ETH1517Ganta,Ganta,,,,
ETH1518Ganza,Ganza,Mao Ganza,,,
ETH1519Garabi,Garabit,,,,
ETH1520Garays,Garaysá,,,,
ETH1521Garbal,Garbale,,,,
ETH1522Garbic,Garbiččo,,,,
ETH1523Gardhe,Gardheere,,,,
ETH1524gareer,Ǧareer,,,,
ETH1525Garesa,Garesa,,,,
ETH1526Garfar,"Garfa, reg. Dime",,,,
ETH1527Gargee,Garǧeeda,,,,
ETH1528Garle,Garle,,,,
ETH1529Garsim,Garšima,,,,
ETH1530Gasame,Gaṣame,Gatame Kaḉama,,,
ETH1531gasar,Ǧāsār,,,,
ETH1532GasarG,Gasar Gudda,,,,
ETH1533Gata,Gata,,,,
ETH1534gawe,Ǧawe,"Ǧaawee,Ǧawi, Jawe",,,
ETH1535Gawwad,Gawwada,,,,
ETH1536Gaykes,Gaykes,,,,
ETH1537gayman,Ġaymān,,,,
ETH1538Gebban,Gebbanitae,,,,
ETH1539Gedeno,Gedeno,,,,
ETH1540GefMel,Gǝf Mela,Ǧǝfmela,,,
ETH1541gele,Ǧǝle,,,,
ETH1542Geledi,Geledi,,,,
ETH1543Gembic,Gǝmbiču,,,,
ETH1544gerato,Ǧǝratom,,,,
ETH1545Gerger,Gergere,"Gärgärä, Qärqärte",,,
ETH1546GeriBa,Géri-Baabile,,,,
ETH1547Gerr,Gerr,,,,
ETH1548Gerrhe,Gerrheans,,,,
ETH1549Gerru,Gerru,,,,
ETH1550Geto,Geto,"Geta, Gyäta",,,
ETH1551Geza,Geza,,,,
ETH1552Gezo,Gezo,,,,
ETH1553Gibdos,Gibdōso,,,,
ETH1554gibril,Ǧibrīl Abokr,,,,
ETH1555gidati,Ǧidʿatī,,,,
ETH1556giddaa,Ǧiddaa,Ǧeddaa,,,
ETH1557giddu,Ǧiddu,,,,
ETH1558Gide,Gide,,,,
ETH1559gideni,Ǧideničč,,,,
ETH1560Gideo,Gideʾo,Därasa,,,
ETH1561gie,Ǧie,,,,
ETH1562giille,Ǧiillee,,,,
ETH1563Giindo,Giindo,,,,
ETH1564gikan,Ǧikañ,,,,
ETH1565gilbo,Ǧilbo,,,,
ETH1566Gimbir,Gimbir,,,,
ETH1567Gimira,Gimira,,,,
ETH1568Gimise,Gimise,,,,
ETH1569Girirr,"Girirra, dial. Somali",,,,
ETH1570girruu,Ǧirruu,,,,
ETH1571Gisa,Gisa,,,,
ETH1572Gobe,Gobe,,,,
ETH1573Gobo,Gobo,,,,
ETH1574Gôɖaw,Gôɖáw,,,,
ETH1575Gofa,Gofa,,,,
ETH1576Gogga,Gogga,,,,
