ID,Name,First name,Altname,Altname,Altname,Gender,Nationality/Ethnicity,Religion,Relations,Qualifier,Qualifier,Time,Place,Texts related (lookup),MSS related (lookup)
PRS1176Abdarra,ʿAbdarraḥīm Aḥmad,,,,,m,,Islam,, nāʾib ,,,,,
PRS1177Abdarra,ʿAbdarraḥmān,,,,,m,,Islam,, qāḍī ,,,,,
PRS1178Abdarra,ʿAbdarraḥmān,,Abderoman,,,m,,Islam,, šayḫ,,,,,
PRS1179Abdarra,ʿAbdarraḥmān al-ʿArāšī,,,,,m,,Islam,, āw ,,,,,
PRS1180Abdarra,ʿAbdarraḥmān al-Ǧabartī,,,,,m,,Islam,, hist. ,,,,,
PRS1181Abdarra,ʿAbdarraḥmān al-Ǧabartī,,,,,m,,Islam,, šayḫ ,,,,,
PRS1182Abdarra,ʿAbdarraḥmān al-Huṣṣ,,,,,m,,Islam,, sch. ,,,,,
PRS1183Abdarra,ʿAbdarraḥmān al-ʿUmarī,,,,,m,,Islam,, mil. ,,,,,
PRS1184Abdarra,ʿAbdarraḥmān az-Zaylaʿī,,,,,m,,Islam,, šayḫ,,d. 1882,,,
PRS1185Abdarra,ʿAbdarraḥmān b. ʿAbdallāh,,,,,m,,Islam,, šayḫ ,,d. 1913,,,
PRS1186Abdarra,ʿAbdarraḥmān b. al-ḥāǧǧ Abū Bakr,,,,,m,,Islam,, naẓīr ,,,,,
PRS1187Abdarra,ʿAbdarraḥmān b. al-ʿAwf,,,,,m,Arabia,Islam, companion of Muḥammad ,,,,,,
PRS1188Abdarra,ʿAbdarraḥmān b. Ḥasan b. ʿAlī b. Muḥammad al-Ǧabartī,,,,,m,,Islam,, sch. ,,,,,
PRS1189Abdarra,ʿAbdarraḥmān b. Muḥammad,,,,,m,,Islam,, amīr ,,,,,
PRS1190Abdarra,ʿAbdarraḥmān [b. šayḫ Isḥāq b. Aḥmad] “Hawal”,,,,,m,,Islam,, anc. ,,,,,
PRS1191Abdarra,ʿAbdarraḥmān Muḥammad Qorrām,,,,,m,,Islam,, sch. ,,,,,
PRS1192Abdarra,ʿAbdarraḥmān šayḫ Nūr,,,,,m,,Islam,, šayḫ ,,,,,
PRS1193Abdarra,ʿAbdarraḥmān of Qebeš,,,,,m,,Islam,, šayḫ ,,,,,
PRS1194Abdarra,ʿAbdarrašīd ʿAlī Šermarke,,,,,m,,Islam,, pol. ,,,,,
PRS1195Abdassa,ʿAbdaššakūr b. Yūsuf,,,,,m,,Islam,, amīr ,,,,,
PRS1196Abdassa,ʿAbdassalām,,,,,m,,Islam,, bašša ,,,,,
PRS1197Abdeseli,Abdeselib,,,,,m,,Islam,, king ,,,,,
PRS1198Abdi,ʿAbdī,,,,,m,,Islam,, šarīf ,,,,,
PRS1199Abdib,ʿAbdi b. Rooble,,,,,m,,Islam,, reer ,,,,,
PRS1200AbdiDo,ʿAbdi Dolāl Muḥammad,,,,,m,,Islam,, dipl. ,,,,,
