ESadmy002, Mälkǝʿa gubaʾe, Collection of Images
            ESbmqm002, Täʾamrä Maryam “Miracles of Mary”
            ESbmqm003, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael
            ESbmqm004, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael
            ESbmqm005, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESbmqm006, ʾArbaʿtu wängel “Four Gospels”
            ESbmqm007, Mǝʿǝraf, The Common of the Office / Dǝggwa, Antiphonary / Zǝmmare, Eucharistic hymns / Miscellaneous liturgical texts and prayers
            ESbmqm008, Dawit "Psalter"
            ESbmqm009, Mäṣḥafä qǝddase “Missal”
            ESbmqm010, Mäṣḥafä qǝddase “Missal”
            ESbmqm011, Mäṣḥafä krәstәnna “Book of the Christening”
            ESbmqm012, Ṣalotä ˤǝṭan “Prayer of Incense”
            ESbmqm013, Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Mälkǝʾa Täklä Haymanot “Image of Täklä Haymanot” / Täʾamrä Täklä Haymanot “Miracles of Täklä Haymanot”
            ESbmqm014, Mäṣḥafä ʾardǝʾǝt “Book of the Disciples” / Ṣälotä kidan zä-śälästu gizeyat “Covenant Prayer of the Three Hours”
            ESbqm001, Gädlä Gäbrä Mänfäs Qǝddus “Vita of Gäbrä Mänfäs Qǝddus” / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus” / Mälkǝʾa Gäbrä Mänfäs Qǝddus “Image of Gäbrä Mänfäs Qǝddus”
            ESbqm002, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael
            ESbqm003, Sǝnkǝssar “Synaxarion” (for the first half of the year)
            ESbqm004, ʾArbaʿtu wängel “Four Gospels”
            ESbqm005, Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”
            ESbqm006, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESbqm007, Zena nägäromu lä-śǝllase “Story of the Trinity” / Täʾamrihomu lä-ʾab wä-wäld wä-mänfäs qǝddus “Miracles of the Father and the Son and the Holy Spirit” / Mälkǝʾa śǝllase “Image of the Trinity”
            ESbqm008, Zena nägäromu lä-śǝllase “Story of the Trinity” / Täʾamrihomu lä-ʾab wä-wäld wä-mänfäs qǝddus “Miracles of the Father and the Son and the Holy Spirit”
            ESbqm009, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael / Mälkǝʾa Mikaʾel "Image of Michael"
            ESbqm010, Täʾamrä ʾIyäsus “Miracles of Jesus”
            ESbqm011, Mäwaśǝʾt, Antiphonary for feasts and funeral service / Ṣomä dǝggwa, Antiphonary for Lent
            ESbqm012, Gädlä Giyorgis “Vita of George” / Täʾamrä Giyorgis “Miracles of George”
            ESbqm013, Mäṣḥafä qǝddase “Missal”
            ESbqm014, Gädlä Sәmʿon näbiy “Vita of Simeon the Prophet” / Täʾamrä Sәmʿon näbiy “Miracle of Simeon the Prophet / Qal kidan, Covenant of Simeon the Prophet
            ESday001, Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”
            ESday002, Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”
            ESday003, ʾArbaˤtu wängel “Four Gospels”
            ESday004, Dawit “Psalter”
            ESday005, Dawit “Psalter”
            ESday006, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESday007, Gädlä Yasay “Vita of Yasay”
            ESday008, Gädlä Yasay “Vita of Yasay” / Täʾamrä Yasay “Miracles of Yasay”
            ESdd001, Täʾamrä Maryam "Miracles of Mary"
            ESdd002, ʾArganonä wǝddase “The Harp of Praise” / ʾAstäbqwǝʿot ʾǝntä zä-Sǝmʿon ʿamdawi “Prayers of Simeon Stylite” / Unidentified text concerning penitence
            ESdd003, Dǝggwa, Antiphonary for the entire year
            ESdd004, Mäḥalǝy zä-Sälomon ʾƎbrayǝsṭ, Songs of Salomon (“Hebrew version”) / Miscellaneous prayers / Dawit “Psalter”
            ESdd005, Fәtḥa nägäśt “Justice of the Kings”
            ESdd006, Täʾamrä ʿUraʾel "Miracles of Uriel" / Täʾamrä ʾIyäsus "Miracles of Jesus" / Täʾamrä Zä-Mikaʾel ʾArägawi "Miracles of Zä-Mikaʾel ʾArägawi" / Täʾamrä Maryam "Miracles of Mary"
            ESdd007, Haymanotä ʾabäw “Faith of the Fathers”/ Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”
            ESdd008, Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”
            ESdd009, Dǝrsan maḥyäwi “The Life-Giving Homily” / Mäṣḥafä ḫǝmamatihu wä-zena sǝqlätu lä-ʾIyäsus Krǝstos “Book of the Passion and Story of the Crucifixion of Jesus Christ”
            ESdd010, Täʾamrä Maryam "Miracles of Mary" / Täʾamrä Gäbrä Mänfäs Qǝddus "Miracles of Gäbrä Mänfäs Qǝddus"
            ESdd011, Täʾamrä ʾIyäsus “Miracles of Jesus” / Täʾamrä Zä-Mikaʾel ʾArägawi “Miracles of Zä-Mikaʾel ʾArägawi”
            ESdd012, Tǝrgwame mälʾǝktä Ṗawlos ḫabä ʾayhud zä-Yoḥannәs ʾAfä Wärq "Commentary of John Chrysostom on the Epistle of Paul to the Hebrews"
            ESdd013, Sǝnkǝssar “Synaxarion” (the first half of the year)
            ESdd014, ʾOrit “Octateuch”
            ESdd015, Mäṣḥafä ḥawi “Book of Ḥawi”
            ESdd015a, Dǝggwa, Antiphonary for the entire year
            ESdd016, Fәtḥa nägäśt “Justice of the Kings” / Mäṣḥafä mәgbarat śännayt “Book of the Good Deeds” / Regulations for the sacerdotal ministers / Śәrʿatä betä krәstiyan wä-mäʿarәgatiha “Order of the Church and its Grades” / Täḫaśәśotat wä-sәʾǝlätat zä-ʾabäw wä-fәkkarehomu “Inquiries and Questions of the Fathers and their Responses” / Mäṣḥafä fäws mänfäsawi “Book of Spiritual Medicine”
            ESdd017, Sǝnkǝssar “Synaxarion” (the first half of the year)
            ESdd018, Sǝnkǝssar “Synaxarion” (the second half of the year)
            ESdd019, Dǝggwa, Antiphonary for the entire year / Mǝʿǝraf, The Common of the Office / Mäwaśǝʾt, Antiphonary for feasts and funeral service
            ESdd020, Sǝnkǝssar “Synaxarion” (the second half of the year)
            ESdd021, Apostolic Epistles / Gǝbrä ḥawaryat "Acts of the Apostles"
            ESdd023, Wǝddase ʾamlak “Praise of God”
            ESdd024, Dǝggwa, Antiphonary
            ESdd025, Sǝnkǝssar “Synaxarion” (the second half of the year)
            ESdd026, Vita of Cyril of Alexandria / Qerǝlos, A collection of Christological treatises by Cyril of Alexandria and other church fathers / Computus note and tables
            ESdd027, Mar Yǝsḥaq, Book of Mar Isaac of Nineveh
            ESdd028, Dawit “Psalter”
            ESdd029, Dawit “Psalter”
            ESdd030, Dawit “Psalter”
            ESdd031, Säʿatat zä-mäʿalt wä-zä-lelit “Horologium for the Day and the Night Hours”/ Märḥa ʿǝwwuran “Guide of the Blind Ones”/ Tarik zä-Wäldä ʿAmid “The History of Wäldä ʿAmid”
            ESdd032, Mäwaśǝʾt, Antiphonary for feasts and funeral service / Zǝmmare, Eucharistic hymns
            ESdd033, Dawit “Psalter”
            ESdd034, Dawit “Psalter”
            ESdd035, ʾArbaʿtu wängel “Four Gospels”
            ESdd036, Mäqdǝmä wängel “Introduction to the Gospels” / Mäṣḥafä qedär “Book of the Jar” / ʾArägawi Mänfäsawi “Spiritual Elder” / Prayer to the Creator on keeping a pure heart / Excerpt from a homily on the Sabbath
            ESdd037, Sǝnkǝssar “Synaxarion” (the second half of the year)
            ESdd038, Dawit “Psalter”/ Ṣälotat zä-maʿalt wä-zä-lelit “Prayers for the Day and for the Night Hours” / Raʾǝyä Yoḥannǝs “Revelation of John”
            ESdd039, Mäṣḥafä gәṣṣawe, Lectionary for the entire year
            ESdd040, Mäṣḥafä ʾIsayǝyyas “Book of Isaiah” / Mäṣḥafä  mǝssale “Book of Proverbs” / Ṭǝbäbä Sälomon “Wisdom of Solomon” / Qalä Mäkbǝb “Word of Ecclesiastes” / Mäṣḥafä ʾIyob “Book of Job”
            ESdd041, Śǝrʿatä mǝnkwǝsǝnna “The Order of the Monastic Profession”
            ESdd042, Zena ʾAyhud “History of the Jews” / Apostolic Epistles / Tǝrgwame ʾAbräksis, Сommentary on the Acts of the Apostles / Homily by John Chrysostom on the Lord's Prayer / Ḥasabä säʿatat, Computus
            ESdd043, Täʾamrä Maryam “Miracles of Mary / Wǝddase ʾamlak “Praise of God” / Ṣälotä nädära, ʾAsmat-prayer against a disease called nädära caused by the evil eye / Ǝgziʾabǝḥer zä-bǝrhanat ʾǝgziʾabǝḥer zä-śǝlṭanat... “God of Lights, God of Powers...”
            ESdd044, Fǝtḥa nägäśt “Justice of the Kings”
            ESdd045, Dawit “Psalter”
            ESdd046, Baḥrä ḥassab “Sea of Computation”
